Timestamp,RSRP,RSSI,SNR
1563242450.6488,-54.6,-48.7,19.8
1563264051.39888,-54.6,-48.7,19.8
1563285653.09231,-54.3,-48.4,18.7
1563307257.80907,-54.3,-48.5,20
1563328865.59728,-54.3,-48.4,18.6
1563350466.73925,-53.9,-48,17.5
1563372067.05168,-54.1,-48.2,18.9
1563393667.45727,-53.9,-46.1,21.5
1563415272.90105,-54.3,-48.4,19.2
1563436881.19522,-54.3,-48.5,19.5
1563458482.24609,-54.3,-48.5,19.5
1563480090.15489,-54.2,-48.3,18.4
1563501695.86311,-54.2,-48.4,18.8
1563523296.45932,-54.2,-48.4,18.8
1563544904.14937,-54.2,-48.3,19.3
1563566506.60039,-54.5,-48.6,19.1
1563588114.83711,-53.7,-47.7,18.6
1563609722.58711,-53.9,-48.1,18.7
1563631325.42127,-53.8,-46.8,17.4
1563652928.92347,-53.9,-48,20.1
1563674535.94533,-53.3,-47.5,20.7
1563696137.24266,-53.4,-47.6,19.9
1563717743.26535,-53.4,-47.6,19.9
1563739351.12441,-53.1,-47.3,20.9
1563760952.16243,-52.9,-47.1,21.3
1563782554.67957,-53,-47.3,21.6
1563804160.13889,-53.2,-47.4,22.1
1563825761.15103,-53,-47.2,19.7
1563847367.26725,-52.8,-43.4,22.9
1563868972.07474,-52.9,-43.6,25.8
1563890580.40796,-53.3,-47.5,22.4
1563912185.05315,-53.3,-47.5,22.4
1563933787.86804,-53.1,-47.3,21.9
1563955390.41219,-53.3,-47.5,21.6
1563976998.43063,-53,-43.6,25.6
1563998606.48625,-52.7,-47,21.7
1564020214.75784,-52.8,-47,21.9
1564041816.74271,-53,-44.8,23.5
1564063425.69011,-53.2,-47.4,22.1
1564085031.83507,-53.2,-47.4,22.1
1564106639.14631,-52.4,-46.6,21.8
1564128247.0987,-52.8,-47,22.6
1564149852.36334,-52.9,-47.1,21
1564171455.52576,-53,-47.2,19.6
1564193059.57767,-53,-44.8,24.2
1564214668.48093,-53.4,-47.6,21.1
1564236271.15253,-53.3,-47.5,21.1
1564257877.06997,-52.2,-46.5,23.4
1564279478.69136,-52.5,-46.8,22.2
1564301084.33549,-52.9,-47,20.6
1564322688.14331,-53.1,-47.3,21.5
1564344295.42851,-53,-42.4,23.3
1564365900.12971,-52.9,-47.1,20.3
1564387502.27279,-53.1,-47.4,22.6
1564409104.63865,-52.8,-47,21.9
1564430711.22455,-52.8,-47,20.4
1564452312.9707,-52.9,-47.1,21.3
1564473918.72258,-52.8,-47,20.8
1564495521.99512,-52.8,-47,20.8
1564517126.71915,-53.2,-47.4,20.4
1564538734.00252,-53.3,-47.5,21.3
1564560336.80873,-53.2,-47.3,18.6
1564581939.9766,-53,-47.2,20
1564603546.92466,-52.4,-46.7,23
1564625149.8324,-52.9,-46.9,18.2
1564646757.7471,-53.2,-47.3,20.1
1564668363.19749,-53.1,-47.3,21.6
1564689971.41123,-53.1,-47.3,21.5
1564711579.8505,-52.5,-46.6,20.1
1564733184.01417,-53.5,-47.8,21
1564754787.82774,-53.2,-43.9,26
1564776393.32214,-53,-47.2,21
1564798000.53166,-53.2,-47.4,21.3
1564819604.58054,-53.3,-47.5,21.1
1564841210.59993,-53.3,-47.5,21.1
1564862812.31142,-53.2,-47.4,20.6
1564884420.49833,-53.1,-47.3,20.7
1564906024.71418,-53,-47.2,21.3
1564927626.07851,-53,-44.1,25.7
1564949227.83054,-52.7,-45.6,20.1
1564970835.97735,-52.7,-46.8,17.5
1564992444.68585,-52.5,-46.7,21.7
1565014051.5541,-52.8,-46.9,18.7
1565035652.91946,-52.8,-47,22
1565057254.92434,-53.2,-47.4,21.4
1565078862.2451,-53.1,-44.9,22.7
1565100470.23874,-52.7,-43.8,22.1
1565122076.99503,-53.6,-47.7,19.3
1565143684.36792,-53.3,-47.5,20.9
1565165289.13755,-53.4,-47.6,21.8
1565186897.24297,-53.1,-47.4,21.8
1565208498.14892,-52.8,-47,21.9
1565230106.81023,-52.8,-43.9,23
1565251714.80145,-53,-47.2,20.6
1565273323.33678,-52.9,-47.1,20.9
1565294929.58086,-53.1,-47.3,21.4
1565316538.56443,-53.5,-47.7,21
1565338138.83896,-53.2,-47.4,21.3
1565359739.42188,-53,-47.2,21.6
1565381346.39276,-53,-47.2,21.6
1565402948.15035,-52.8,-47,21.3
1565424554.03915,-53.2,-47.4,19.7
1565446157.97951,-52.8,-46.6,21.5
1565467759.73515,-53.1,-47.2,20.2
1565489365.97526,-52.3,-46.6,21.9
1565510968.13392,-52.5,-46.8,20.9
1565532574.49596,-52.8,-47,20.7
1565554180.1439,-52.7,-46.9,21.8
1565575783.61451,-52.7,-46.9,21.8
1565597387.54078,-52.8,-46.9,19.3
1565618990.66769,-52.7,-43.2,25.3
1565640593.69266,-53.2,-47.4,20.5
1565662197.76311,-53.5,-47.7,19.7
1565683797.85069,-53.3,-47.5,21.8
1565705402.78568,-53.7,-47.9,20.9
1565727007.80293,-53.5,-47.7,19.7
1565748607.96701,-53.4,-47.6,20.7
1565770214.34966,-53.6,-47.8,21.3
1565791818.36883,-53.6,-47.8,21.3
1565813420.34569,-53.8,-47.8,18.7
1565835026.07385,-53.6,-47.8,21.6
1565856631.23242,-53.6,-47.7,20.4
1565878233.16996,-53.4,-47.6,21.4
1565899834.77005,-53.8,-48,20.2
1565921441.68443,-53.7,-47.9,20.4
1565943042.33636,-53.5,-47.8,21.9
1565964643.68738,-53.2,-47.4,20.9
1565986247.67786,-53.5,-47.7,22
1566007853.50126,-53.4,-47.6,21.9
1566029454.11145,-53.4,-47.6,21.2
1566051057.48643,-53.3,-47.5,21.9
1566072663.50042,-53.2,-43.8,23.7
1566094270.55257,-53.6,-47.8,21.7
1566115875.04067,-53.8,-48,20.8
1566137483.66931,-53.6,-47.8,21.5
1566159087.84398,-53.4,-47.6,22.2
1566180696.32741,-53.6,-47.8,20.3
1566202302.44882,-53.9,-48,21.6
1566223903.27272,-53.8,-48,21.4
1566245503.42973,-53.6,-47.9,22
1566267107.41863,-53.4,-47.6,22
1566288708.72052,-53.6,-47.8,21.4
1566310316.42023,-54,-48.1,19.7
1566331922.57234,-53.7,-47.9,21.2
1566353523.61843,-52.8,-47,22.6
1566375124.96652,-53,-47.2,21.8
1566396729.29695,-53.4,-47.6,20.4
1566418333.45071,-53.5,-42.9,23.8
1566439937.75592,-53.7,-47.9,21.3
1566461546.3469,-53.7,-47.9,22.7
1566483148.2308,-54,-48.2,21.4
1566504754.13218,-53.7,-47.9,18.9
1566526360.33256,-53.3,-47.5,21.7
1566547966.14522,-53.3,-47.5,21.7
1566569571.06406,-53.4,-47.6,21.9
1566591174.66591,-53.7,-47.9,20.9
1566612780.76224,-53.7,-47.9,21
1566634383.42646,-53.2,-47.4,21.7
