Timestamp,RSRP,RSSI,SNR
1580528950.20579,-55.3,-48.6,18.7
1580572154.43533,-54.5,-47.9,18.6
1580615361.60022,-53.9,-47.2,18.8
1580658566.65323,-53.4,-47,17.7
1580701769.37346,-53.9,-47.4,19
1580744972.12796,-53.6,-44.1,22.2
1580788175.36457,-58.3,-47.4,20.4
1580831376.4079,-55.5,-48.7,18.7
1580874582.63097,-62.4,-50.7,8.6
1580917790.89603,-58.1,-50.8,15.5
1580960992.86459,-57.9,-50.6,15.8
1581004196.79833,-61.1,-49.6,6.9
1581047397.26769,-58.1,-48,16.1
1581090602.11757,-62,-52.2,10
1581133806.69075,-54.7,-48,14.2
1581177009.24589,-54.8,-48.1,15
1581220214.77064,-52.5,-46.3,19.4
1581263415.78952,-52.8,-46.6,17.8
1581306623.96901,-56.7,-49.4,15.1
1581349826.5624,-53.4,-46.9,17.3
1581393034.16148,-51.9,-45.7,20.2
1581436235.43758,-55,-47.7,16.4
1581479438.16008,-52.1,-45.9,21.9
1581522641.03515,-53.9,-46.7,15
1581565846.59165,-53.8,-46.6,17.8
1581609051.02345,-53.7,-46.6,16.6
1581652257.77123,-53.7,-46.5,15.6
1581695463.51084,-53.9,-46.8,16.4
1581738666.70282,-53.5,-43.8,20.4
1581781868.68888,-50.9,-44.7,20.8
1581825073.0247,-50.9,-41.8,22.6
1581868275.45483,-50.4,-44.2,21
1581911477.7291,-51.5,-45.2,20.5
1581954684.14921,-53.7,-45.3,13.2
1581997886.02405,-51.9,-44.7,16.6
1582041087.73061,-46.4,NaN,NaN
1582084289.62644,-56,-48.2,14.4
1582127495.00337,-52.8,-45,12.2
1582170697.90482,-53.2,-45.4,17.4
1582213903.85784,-53,-45.3,17.6
1582257107.68468,-53.2,-43.3,18.6
1582300308.87205,-52.9,-45.6,17.1
1582343515.25431,-57.9,-45.8,7.8
1582386723.36891,-56.3,-48.7,15.7
1582429925.2264,-52.5,-43.5,16.9
1582473126.74809,-55.9,-48.1,16.4
1582516326.82931,-54.6,-47.7,16.5
1582559528.37253,-53.1,-46.4,17.7
1582602734.57374,-60.3,-53.5,14
1582645942.37221,-58.9,-52.6,15.7
1582689144.35078,-60.3,-51.9,10.9
1582732347.98799,-58.7,-50.4,15.1
1582775556.92315,-57.7,-50.1,16.2
1582818762.05164,-57.8,-49.2,14.3
1582861966.3606,-57.5,-49.9,13.9
1582905174.801,-60.6,-50.2,10.9
1582948382.55376,-57.5,-50,15.4
1582991582.70704,-57.9,-50.3,14.9
1583034786.72895,-51.9,-45.6,18.7
1583077990.8191,-57.4,-50.3,15
